"Well_Number","Well_Status","NR_Area","NR_Subarea","Location","Location_Long","Latitude","Longitude","Aquifer_ID","Aquifer_Subtype","Aquifer_Type","Hydraulic_Connectivity","Report","Start_Year","End_Year","N_Years","Start_WaterYear","End_WaterYear","N_WaterYears","Start_Year_Monthly","End_Year_Monthly","N_Years_Monthly","Start_WaterYear_Monthly","End_WaterYear_Monthly","N_WaterYears_Monthly","Start_Year_Continuous","End_Year_Continuous","N_Years_Continuous","Start_WaterYear_Continuous","End_WaterYear_Continuous","N_WaterYears_Continuous"
"OW135","Inactive",NA,NA,NA,NA,660852.3212,1705119.7669,603,"1b","Unconfined sand and gravel","Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW119","Inactive",NA,NA,NA,NA,624256.3026,1481023.6152,1153,"4b","Confined sand and gravel","Not Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW031","Inactive",NA,NA,NA,NA,501192.5039,1468309.599,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW123","Inactive",NA,NA,NA,NA,637594.2611,1486697.426,1156,"4b","Confined sand and gravel","Not Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW484","Active",NA,NA,NA,NA,427923.4606,1198414.7663,632,"5a","Sedimentary","Not Likely",FALSE,2018,2022,5,2018,2022,5,NA,NA,NA,NA,NA,NA,2018,2022,5,2018,2022,5
"OW227","Inactive",NA,NA,NA,NA,437445.504,1178764.3491,721,"5a","Sedimentary","Not Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW299","Active","South Coast Region","Lower Mainland / Fraser Valley","Abbotsford","Abbotsford (Mt Lehman Rd N Of Marshall Rd Extension)",454082.5005,1264759.3767,15,"4a","Unconfined sand and gravel","Likely",TRUE,1987,2022,36,1987,2022,36,1987,2003,17,1987,2003,17,2003,2022,20,2004,2022,19
"OW115","Active","South Natural Resource Area","Central Okanagan","Mission Creek","Mission Creek",573023.4138,1505428.1907,NA,NA,NA,NA,TRUE,1973,2022,44,1973,2022,43,1973,2004,32,1973,2004,32,2004,2022,13,2005,2022,11
"OW054","Inactive",NA,NA,NA,NA,591882.4745,1470945.1725,471,"6b","Crystalline bedrock","Not Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW104","Inactive",NA,NA,NA,NA,470408.7256,1473893.4453,193,"4a","Unconfined sand and gravel","Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW105","Inactive",NA,NA,NA,NA,470280.4443,1474682.032,193,"4a","Unconfined sand and gravel","Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW106","Inactive",NA,NA,NA,NA,470502.4677,1474694.6736,193,"4a","Unconfined sand and gravel","Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW107","Inactive",NA,NA,NA,NA,470620.09,1474869.7744,193,"4a","Unconfined sand and gravel","Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW102","Inactive",NA,NA,NA,NA,471194.6539,1474349.556,193,"4a","Unconfined sand and gravel","Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW112","Inactive",NA,NA,NA,NA,1213554.7476,1328438.2681,591,"5a","Sedimentary","Not Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW037","Inactive",NA,NA,NA,NA,650465.9095,1353321.975,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW036","Inactive",NA,NA,NA,NA,650406.0361,1353165.5572,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW113","Inactive",NA,NA,NA,NA,1217024.5879,1328384.8691,596,"4b","Confined sand and gravel","Not Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW108","Inactive",NA,NA,NA,NA,1197387.7784,1273428.083,626,"4b","Confined sand and gravel","Not Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW101","Inactive",NA,NA,NA,NA,470749.3155,1474079.6709,193,"4a","Unconfined sand and gravel","Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW100","Inactive",NA,NA,NA,NA,470866.7538,1474192.3288,193,"4a","Unconfined sand and gravel","Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW092","Inactive",NA,NA,NA,NA,467515.972,1477121.1038,193,"4a","Unconfined sand and gravel","Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW114","Inactive",NA,NA,NA,NA,1197533.8187,1273152.3161,626,"4b","Confined sand and gravel","Not Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW093","Inactive",NA,NA,NA,NA,467510.7549,1477076.7282,193,"4a","Unconfined sand and gravel","Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW016","Inactive",NA,NA,NA,NA,454762.6619,1236314.2105,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW094","Inactive",NA,NA,NA,NA,467563.5024,1477128.4762,193,"4a","Unconfined sand and gravel","Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW109","Inactive",NA,NA,NA,NA,1197705.5376,1272817.4916,626,"4b","Confined sand and gravel","Not Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW095","Inactive",NA,NA,NA,NA,467712.7332,1477089.6801,193,"4a","Unconfined sand and gravel","Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW096","Inactive",NA,NA,NA,NA,467764.1968,1476982.7115,193,"4a","Unconfined sand and gravel","Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW097","Inactive",NA,NA,NA,NA,467772.0294,1477031.2551,193,"4a","Unconfined sand and gravel","Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW099","Inactive",NA,NA,NA,NA,470520.4394,1473907.4339,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW098","Inactive",NA,NA,NA,NA,470310.7202,1473664.3421,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW103","Inactive",NA,NA,NA,NA,469999.6005,1474357.2976,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW155","Inactive",NA,NA,NA,NA,526973.8334,1459816.2083,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW154","Active","South Natural Resource Area","Similkameen","Summerland","Summerland (Hwy 97 & Thornber St.)",527509.5247,1459927.0408,297,"2","Unconfined sand and gravel","Likely",TRUE,1969,2022,53,1969,2022,54,1969,2007,39,1969,2008,40,2009,2022,14,2009,2022,14
"OW152","Inactive",NA,NA,NA,NA,526782.3197,1460464.9121,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW159","Inactive",NA,NA,NA,NA,527272.9425,1459853.1897,297,"2","Unconfined sand and gravel","Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW153","Inactive",NA,NA,NA,NA,526367.1253,1460835.9383,297,"2","Unconfined sand and gravel","Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW160","Inactive",NA,NA,NA,NA,527282.3088,1460254.1338,297,"2","Unconfined sand and gravel","Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW161","Inactive",NA,NA,NA,NA,527296.3575,1460385.1014,297,"2","Unconfined sand and gravel","Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW151","Inactive",NA,NA,NA,NA,526595.3183,1460903.2585,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW157","Inactive",NA,NA,NA,NA,526707.3028,1460004.4483,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW158","Inactive",NA,NA,NA,NA,526781.2994,1459239.9124,297,"2","Unconfined sand and gravel","Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW145","Inactive",NA,NA,NA,NA,566992.6079,1470435.2405,469,"4b","Confined sand and gravel","Not Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW146","Inactive",NA,NA,NA,NA,567039.1185,1470358.7923,469,"4b","Confined sand and gravel","Not Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW149","Inactive",NA,NA,NA,NA,566938.0395,1470593.2223,469,"4b","Confined sand and gravel","Not Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW148","Inactive",NA,NA,NA,NA,566895.8434,1470463.7074,469,"4b","Confined sand and gravel","Not Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW085","Inactive",NA,NA,NA,NA,645167.462,1266769.8665,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW110","Inactive",NA,NA,NA,NA,1210782.181,1322259.3035,594,"4b","Confined sand and gravel","Not Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW147","Inactive",NA,NA,NA,NA,566910.3274,1470367.1527,469,"4b","Confined sand and gravel","Not Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW061","Inactive",NA,NA,NA,NA,397385.872,1192701.2932,612,"4b","Confined sand and gravel","Not Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW086","Inactive",NA,NA,NA,NA,1023854.3293,1015814.6821,645,"4b","Confined sand and gravel","Not Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW111","Inactive",NA,NA,NA,NA,1218668.6409,1328538.791,594,"4b","Confined sand and gravel","Not Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW090","Inactive",NA,NA,NA,NA,589740.8964,1467779.6449,471,"6b","Crystalline bedrock","Not Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW121","Inactive",NA,NA,NA,NA,624744.9306,1479299.4973,1155,"4b","Confined sand and gravel","Not Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW076","Inactive",NA,NA,NA,NA,484870.6357,1449632.3403,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW077","Inactive",NA,NA,NA,NA,485517.559,1450690.8852,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW064","Inactive",NA,NA,NA,NA,408377.4469,1191125.2011,608,"6b","Crystalline bedrock","Not Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW317","Inactive",NA,NA,NA,NA,464280.4294,1161279.9975,709,"5a","Sedimentary","Not Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW177","Inactive",NA,NA,NA,NA,581106.7622,1472121.6392,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW167","Inactive",NA,NA,NA,NA,580944.0659,1471241.2687,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW196","Active","West Coast Region","Regional District of Nanaimo","Gabriola Island","Gabriola Island (Buttercup Rd.)",464003.5021,1160478.9813,709,"5a","Sedimentary","Not Likely",TRUE,1973,2022,50,1974,2022,48,1973,2003,31,1974,2003,30,2003,2022,20,2003,2022,19
"OW194","Inactive",NA,NA,NA,NA,464375.59,1157400.2525,709,"5a","Sedimentary","Not Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW129","Inactive",NA,NA,NA,NA,429902.5422,1200616.4962,619,"5a","Sedimentary","Not Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW126","Inactive",NA,NA,NA,NA,430955.2896,1198949.9229,447,"5a","Sedimentary","Not Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW178","Inactive",NA,NA,NA,NA,581636.2104,1470553.0891,471,"6b","Crystalline bedrock","Not Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW195","Inactive",NA,NA,NA,NA,465731.2805,1158262.0431,709,"5a","Sedimentary","Not Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW002","Active","South Coast Region","Lower Mainland / Fraser Valley","Abbotsford","Abbotsford (Airport, Huntingdon Rd W Of Clearbrook Rd)",451454.7498,1267814.7362,15,"4a","Unconfined sand and gravel","Likely",TRUE,1962,2022,59,1962,2022,58,1962,2003,40,1962,2003,39,2003,2022,20,2003,2022,20
"OW056","Inactive",NA,NA,NA,NA,577110.1915,1473156.2938,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW057","Inactive",NA,NA,NA,NA,576987.637,1473434.1505,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW055","Inactive",NA,NA,NA,NA,577289.7438,1473650.1053,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW008","Active","South Coast Region","Lower Mainland / Fraser Valley","Abbotsford","Abbotsford (Vye Rd E Of Mccallum Rd)",451638.3003,1271637.1079,15,"4a","Unconfined sand and gravel","Likely",TRUE,1962,2022,61,1962,2022,60,1962,2003,42,1962,2003,41,2003,2022,20,2004,2022,19
"OW065","Active","West Coast Region","Capital Regional District","Sidney","Sidney (Victoria International Airport)",407169.5147,1190899.0731,608,"6b","Crystalline bedrock","Not Likely",TRUE,1975,2021,47,1975,2021,47,1975,2002,28,1975,2002,28,2002,2021,20,2002,2021,20
"OW162","Inactive",NA,NA,NA,NA,583705.3011,1473753.0204,345,"4b","Confined sand and gravel","Not Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW128","Active","West Coast Region","Capital Regional District","Mayne Island","Mayne Island (Skana Gate Road)",431920.1477,1199595.3087,447,"5a","Sedimentary","Not Likely",TRUE,1972,2022,51,1973,2022,50,1972,2004,33,1973,2004,32,2004,2022,19,2004,2022,19
"OW124","Active","North Natural Resource Area","Northeast","Charlie Lake","Charlie Lake",1270973.3229,1311316.1665,451,"5a","Sedimentary","Not Likely",TRUE,1971,2021,48,1972,2021,47,1971,2001,31,1972,2001,30,2003,2021,17,2003,2021,17
"OW326","Inactive",NA,NA,NA,NA,432936.8947,1196796.712,320,"5a","Sedimentary","Not Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW014","Inactive",NA,NA,NA,NA,452163.749,1272746.2081,15,"4a","Unconfined sand and gravel","Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW015","Inactive",NA,NA,NA,NA,451994.1153,1272735.344,15,"4a","Unconfined sand and gravel","Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW237","Inactive",NA,NA,NA,NA,407207.1573,1188541.4465,608,"6b","Crystalline bedrock","Not Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW127","Inactive",NA,NA,NA,NA,430220.8988,1199880.479,619,"5a","Sedimentary","Not Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW265","Active","West Coast Region","Capital Regional District","North Saanich","North Saanich (Gleneg Road)",406583.5972,1187325.8882,608,"6b","Crystalline bedrock","Not Likely",TRUE,1980,2021,42,1981,2022,42,1980,2002,23,1981,2002,22,2002,2021,20,2003,2022,20
"OW266","Inactive",NA,NA,NA,NA,406543.8468,1187332.4849,608,"6b","Crystalline bedrock","Not Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW201","Active","West Coast Region","Mount Waddington Regional District","Alert Bay","Alert Bay (Fir St.)",618969.1965,934455.1167,858,"4b","Confined sand and gravel","Not Likely",TRUE,1975,2022,46,1975,2022,46,1975,2004,28,1975,2004,28,2004,2022,19,2004,2022,19
"OW328","Inactive",NA,NA,NA,NA,459163.7096,1251080.7689,35,"4a","Unconfined sand and gravel","Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW066","Inactive",NA,NA,NA,NA,409718.7938,1188021.831,608,"6b","Crystalline bedrock","Not Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW244","Inactive",NA,NA,NA,NA,405920.3969,1186951.4669,608,"6b","Crystalline bedrock","Not Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW200","Active","North Natural Resource Area","Skeena","Dease Lake","Dease Lake",1501305.7724,766957.3616,828,"4b","Confined sand and gravel","Not Likely",TRUE,1973,2022,44,1974,2022,43,1973,2007,31,1974,2007,31,2010,2022,13,2011,2022,12
"OW063","Inactive",NA,NA,NA,NA,409244.7089,1190600.966,608,"6b","Crystalline bedrock","Not Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW068","Inactive",NA,NA,NA,NA,408953.1916,1188998.9642,608,"6b","Crystalline bedrock","Not Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW212","Inactive",NA,NA,NA,NA,410695.4271,1188185.2802,608,"6b","Crystalline bedrock","Not Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW285","Inactive",NA,NA,NA,NA,520154.8103,1076535.6373,408,"4a","Unconfined sand and gravel","Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW232","Active","West Coast Region","Regional District of Nanaimo","Lantzville","Lantzville (Harby Rd.)",471879.8129,1139898.4181,215,"4b","Confined sand and gravel","Not Likely",TRUE,1979,2022,44,1980,2022,43,1979,2003,25,1980,2003,24,2003,2022,20,2003,2022,20
"OW213","Inactive",NA,NA,NA,NA,410712.7203,1188138.0809,608,"6b","Crystalline bedrock","Not Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW397","Active","West Coast Region","Regional District of Nanaimo","Nanoose","Nanoose (Northwest Bay Rd.)",474888.3727,1131614.1484,1098,"4b","Confined sand and gravel","Not Likely",TRUE,2012,2021,9,2012,2022,10,NA,NA,NA,NA,NA,NA,2012,2021,9,2012,2022,10
"OW069","Inactive",NA,NA,NA,NA,407815.917,1189126.5484,608,"6b","Crystalline bedrock","Not Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW225","Inactive",NA,NA,NA,NA,408559.4822,1180639.0658,203,"6b","Crystalline bedrock","Not Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW070","Inactive",NA,NA,NA,NA,405060.8015,1189574.3807,608,"6b","Crystalline bedrock","Not Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW280","Inactive",NA,NA,NA,NA,522929.1783,1077128.2569,408,"4a","Unconfined sand and gravel","Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW223","Inactive",NA,NA,NA,NA,422532.9838,1188293.0032,1147,"6b","Crystalline bedrock","Not Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW198","Inactive",NA,NA,NA,NA,424166.1672,1200576.4256,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW180","Active","South Natural Resource Area","North Okanagan","Armstrong","Armstrong (Spallumcheen Way & Crozier Rd.)",621756.847,1481272.4011,353,"3","Unconfined sand and gravel","Likely",TRUE,1975,2022,48,1975,2022,48,1975,2003,29,1975,2004,30,2003,2022,20,2004,2022,19
"OW202","Inactive",NA,NA,NA,NA,619288.5254,934817.5244,858,"4b","Confined sand and gravel","Not Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW190","Inactive",NA,NA,NA,NA,632178.8189,1470522.5811,97,"1a","Unconfined sand and gravel","Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW191","Inactive",NA,NA,NA,NA,632170.3064,1470645.8716,97,"1a","Unconfined sand and gravel","Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW192","Inactive",NA,NA,NA,NA,632175.8029,1470727.9629,97,"1a","Unconfined sand and gravel","Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW193","Inactive",NA,NA,NA,NA,632136.5776,1470525.1343,97,"1a","Unconfined sand and gravel","Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW240","Active","West Coast Region","Capital Regional District","North Saanich","North Saanich (Carnoustie Cr.)",405640.3754,1187072.3138,608,"6b","Crystalline bedrock","Not Likely",TRUE,1979,2022,44,1979,2022,44,1979,2002,24,1979,2002,24,2003,2022,20,2003,2022,20
"OW185","Active","South Natural Resource Area","Columbia-Shuswap","Salmon River","Salmon River (Salmon River Road Se Salmon Arm)",632718.3855,1470423.3554,97,"1a","Unconfined sand and gravel","Likely",TRUE,1974,2022,49,1974,2022,49,1974,2003,30,1974,2004,31,2003,2022,20,2004,2022,19
"OW184","Inactive",NA,NA,NA,NA,565186.1294,1723433.5133,1136,"1b","Unconfined sand and gravel","Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW315","Inactive",NA,NA,NA,NA,449908.8463,1163039.9597,162,"5a","Sedimentary","Not Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW186","Inactive",NA,NA,NA,NA,632694.4462,1470525.2989,97,"1a","Unconfined sand and gravel","Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW187","Inactive",NA,NA,NA,NA,632699.8294,1470653.6768,97,"1a","Unconfined sand and gravel","Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW188","Inactive",NA,NA,NA,NA,632704.6624,1470799.9087,97,"1a","Unconfined sand and gravel","Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW189","Inactive",NA,NA,NA,NA,632456.8203,1470601.796,97,"1a","Unconfined sand and gravel","Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OW446","Active","South Coast Region","Lower Mainland / Fraser Valley","Langley","Langley (Campbell Valley Park)",450510.3019,1244919.5728,52,"4b","Confined sand and gravel","Not Likely",TRUE,2013,2022,10,2013,2022,10,NA,NA,NA,NA,NA,NA,2013,2022,10,2013,2022,10
"OW256","Inactive",NA,NA,NA,NA,408558.4373,1180416.1191,203,"6b","Crystalline bedrock","Not Likely",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
